"State","District"
"Andaman and Nicobar","Andaman and Nicobar"
"Andaman and Nicobar","Nicobar Islands"
"Andaman and Nicobar","North and Middle Andaman"
"Andaman and Nicobar","South Andaman"
"Andhra Pradesh","Adilabad"
"Andhra Pradesh","Anantapur"
"Andhra Pradesh","Chittoor"
"Andhra Pradesh","Cuddapah"
"Andhra Pradesh","East Godavari"
"Andhra Pradesh","Guntur"
"Andhra Pradesh","Hyderabad"
"Andhra Pradesh","Karimnagar"
"Andhra Pradesh","Khammam"
"Andhra Pradesh","Krishna"
"Andhra Pradesh","Kurnool"
"Andhra Pradesh","Mahbubnagar"
"Andhra Pradesh","Medak"
"Andhra Pradesh","Nalgonda"
"Andhra Pradesh","Nellore"
"Andhra Pradesh","Nizamabad"
"Andhra Pradesh","Prakasam"
"Andhra Pradesh","Rangareddi"
"Andhra Pradesh","Srikakulam"
"Andhra Pradesh","Vishakhapatnam"
"Andhra Pradesh","Vizianagaram"
"Andhra Pradesh","Warangal"
"Andhra Pradesh","West Godavari"
"Arunachal Pradesh","Anjaw"
"Arunachal Pradesh","Changlang"
"Arunachal Pradesh","Dibang Valley"
"Arunachal Pradesh","East Kameng"
"Arunachal Pradesh","East Siang"
"Arunachal Pradesh","Kurung Kumey"
"Arunachal Pradesh","Lohit"
"Arunachal Pradesh","Lower Dibang Valley"
"Arunachal Pradesh","Lower Subansiri"
"Arunachal Pradesh","Papum Pare"
"Arunachal Pradesh","Tawang"
"Arunachal Pradesh","Tirap"
"Arunachal Pradesh","Upper Siang"
"Arunachal Pradesh","Upper Subansiri"
"Arunachal Pradesh","West Kameng"
"Arunachal Pradesh","West Siang"
"Assam","Baksa"
"Assam","Barpeta"
"Assam","Bongaigaon"
"Assam","Cachar"
"Assam","Chirang"
"Assam","Darrang"
"Assam","Dhemaji"
"Assam","Dhuburi"
"Assam","Dibrugarh"
"Assam","Goalpara"
"Assam","Golaghat"
"Assam","Hailakandi"
"Assam","Jorhat"
"Assam","Kamrup"
"Assam","Kamrup Metropolitan"
"Assam","Karbi Anglong"
"Assam","Karimganj"
"Assam","Kokrajhar"
"Assam","Lakhimpur"
"Assam","Marigaon"
"Assam","Nagaon"
"Assam","Nalbari"
"Assam","North Cachar Hills"
"Assam","Sibsagar"
"Assam","Sonitpur"
"Assam","Tinsukia"
"Assam","Udalguri"
"Bihar","Araria"
"Bihar","Arwal"
"Bihar","Aurangabad"
"Bihar","Banka"
"Bihar","Begusarai"
"Bihar","Bhabua"
"Bihar","Bhagalpur"
"Bihar","Bhojpur"
"Bihar","Buxar"
"Bihar","Darbhanga"
"Bihar","Gaya"
"Bihar","Gopalganj"
"Bihar","Jamui"
"Bihar","Jehanabad"
"Bihar","Katihar"
"Bihar","Khagaria"
"Bihar","Kishanganj"
"Bihar","Lakhisarai"
"Bihar","Madhepura"
"Bihar","Madhubani"
"Bihar","Munger"
"Bihar","Muzaffarpur"
"Bihar","Nalanda"
"Bihar","Nawada"
"Bihar","Pashchim Champaran"
"Bihar","Patna"
"Bihar","Purba Champaran"
"Bihar","Purnia"
"Bihar","Rohtas"
"Bihar","Saharsa"
"Bihar","Samastipur"
"Bihar","Saran"
"Bihar","Sheikhpura"
"Bihar","Sheohar"
"Bihar","Sitamarhi"
"Bihar","Siwan"
"Bihar","Supaul"
"Bihar","Vaishali"
"Chandigarh","Chandigarh"
"Chhattisgarh","Balod"
"Chhattisgarh","Baloda Bazar"
"Chhattisgarh","Balrampur"
"Chhattisgarh","Bastar"
"Chhattisgarh","Bemetara"
"Chhattisgarh","Bijapur"
"Chhattisgarh","Bilaspur"
"Chhattisgarh","Dantewada"
"Chhattisgarh","Dhamtari"
"Chhattisgarh","Durg"
"Chhattisgarh","Gariaband"
"Chhattisgarh","Janjgir-Champa"
"Chhattisgarh","Jashpur"
"Chhattisgarh","Kanker"
"Chhattisgarh","Kawardha"
"Chhattisgarh","Kondagaon"
"Chhattisgarh","Korba"
"Chhattisgarh","Koriya"
"Chhattisgarh","Mahasamund"
"Chhattisgarh","Mungeli"
"Chhattisgarh","Narayanpur"
"Chhattisgarh","Raigarh"
"Chhattisgarh","Raipur"
"Chhattisgarh","Raj Nandgaon"
"Chhattisgarh","Sukma"
"Chhattisgarh","Surajpur"
"Chhattisgarh","Surguja"
"Dadra and Nagar Haveli","Dadra and Nagar Haveli"
"Delhi","Delhi"
"Goa","Goa"
"Goa","North Goa"
"Goa","South Goa"
"Gujarat","Ahmadabad"
"Gujarat","Amreli"
"Gujarat","Anand"
"Gujarat","Banas Kantha"
"Gujarat","Bharuch"
"Gujarat","Bhavnagar"
"Gujarat","Dahod"
"Gujarat","Gandhinagar"
"Gujarat","Jamnagar"
"Gujarat","Junagadh"
"Gujarat","Kachchh"
"Gujarat","Kheda"
"Gujarat","Mahesana"
"Gujarat","Narmada"
"Gujarat","Navsari"
"Gujarat","Panch Mahals"
"Gujarat","Patan"
"Gujarat","Porbandar"
"Gujarat","Rajkot"
"Gujarat","Sabar Kantha"
"Gujarat","Surat"
"Gujarat","Surendranagar"
"Gujarat","Tapi"
"Gujarat","The Dangs"
"Gujarat","Vadodara"
"Gujarat","Valsad"
"Haryana","Ambala"
"Haryana","Bhiwani"
"Haryana","Faridabad"
"Haryana","Fatehabad"
"Haryana","Gurgaon"
"Haryana","Hisar"
"Haryana","Jhajjar"
"Haryana","Jind"
"Haryana","Kaithal"
"Haryana","Karnal"
"Haryana","Kurukshetra"
"Haryana","Mahendragarh"
"Haryana","Mewat"
"Haryana","Palwal"
"Haryana","Panchkula"
"Haryana","Panipat"
"Haryana","Rewari"
"Haryana","Rohtak"
"Haryana","Sirsa"
"Haryana","Sonepat"
"Haryana","Yamuna Nagar"
"Himachal Pradesh","Bilaspur"
"Himachal Pradesh","Chamba"
"Himachal Pradesh","Hamirpur"
"Himachal Pradesh","Kangra"
"Himachal Pradesh","Kinnaur"
"Himachal Pradesh","Kullu"
"Himachal Pradesh","Lahul and Spiti"
"Himachal Pradesh","Mandi"
"Himachal Pradesh","Shimla"
"Himachal Pradesh","Sirmaur"
"Himachal Pradesh","Solan"
"Himachal Pradesh","Una"
"Jammu and Kashmir","Anantnag (Kashmir South)"
"Jammu and Kashmir","Bagdam"
"Jammu and Kashmir","Bandipora"
"Jammu and Kashmir","Baramula (Kashmir North)"
"Jammu and Kashmir","Doda"
"Jammu and Kashmir","Ganderbal"
"Jammu and Kashmir","Jammu"
"Jammu and Kashmir","Kargil"
"Jammu and Kashmir","Kathua"
"Jammu and Kashmir","Kishtwar"
"Jammu and Kashmir","Kulgam"
"Jammu and Kashmir","Kupwara (Muzaffarabad)"
"Jammu and Kashmir","Ladakh (Leh)"
"Jammu and Kashmir","Pulwama"
"Jammu and Kashmir","Punch"
"Jammu and Kashmir","Rajauri"
"Jammu and Kashmir","Ramban"
"Jammu and Kashmir","Reasi"
"Jammu and Kashmir","Samba"
"Jammu and Kashmir","Shopian"
"Jammu and Kashmir","Srinagar"
"Jammu and Kashmir","Udhampur"
"Jharkhand","Bokaro"
"Jharkhand","Chatra"
"Jharkhand","Deoghar"
"Jharkhand","Dhanbad"
"Jharkhand","Dumka"
"Jharkhand","Garhwa"
"Jharkhand","Giridih"
"Jharkhand","Godda"
"Jharkhand","Gumla"
"Jharkhand","Hazaribag"
"Jharkhand","Jamtara"
"Jharkhand","Khunti"
"Jharkhand","Koderma"
"Jharkhand","Latehar"
"Jharkhand","Lohardaga"
"Jharkhand","Pakur"
"Jharkhand","Palamu"
"Jharkhand","Pashchim Singhbhum"
"Jharkhand","Purba Singhbhum"
"Jharkhand","Ramgarh"
"Jharkhand","Ranchi"
"Jharkhand","Sahibganj"
"Jharkhand","Saraikela Kharsawan"
"Jharkhand","Simdega"
"Karnataka","Bagalkot"
"Karnataka","Bangalore"
"Karnataka","Bangalore Rural"
"Karnataka","Belgaum"
"Karnataka","Bellary"
"Karnataka","Bidar"
"Karnataka","Bijapur"
"Karnataka","Chamrajnagar"
"Karnataka","Chikballapur"
"Karnataka","Chikmagalur"
"Karnataka","Chitradurga"
"Karnataka","Dakshin Kannad"
"Karnataka","Davanagere"
"Karnataka","Dharwad"
"Karnataka","Gadag"
"Karnataka","Gulbarga"
"Karnataka","Hassan"
"Karnataka","Haveri"
"Karnataka","Kodagu"
"Karnataka","Kolar"
"Karnataka","Koppal"
"Karnataka","Mandya"
"Karnataka","Mysore"
"Karnataka","Raichur"
"Karnataka","Ramanagara"
"Karnataka","Shimoga"
"Karnataka","Tumkur"
"Karnataka","Udupi"
"Karnataka","Uttar Kannand"
"Karnataka","Yadgir"
"Kerala","Alappuzha"
"Kerala","Ernakulam"
"Kerala","Idukki"
"Kerala","Kannur"
"Kerala","Kasaragod"
"Kerala","Kollam"
"Kerala","Kottayam"
"Kerala","Kozhikode"
"Kerala","Malappuram"
"Kerala","Palakkad"
"Kerala","Pattanamtitta"
"Kerala","Thiruvananthapuram"
"Kerala","Thrissur"
"Kerala","Wayanad"
"Madhya Pradesh","Alirajpur"
"Madhya Pradesh","Anuppur"
"Madhya Pradesh","Ashoknagar"
"Madhya Pradesh","Balaghat"
"Madhya Pradesh","Barwani"
"Madhya Pradesh","Betul"
"Madhya Pradesh","Bhind"
"Madhya Pradesh","Bhopal"
"Madhya Pradesh","Burhanpur"
"Madhya Pradesh","Chhatarpur"
"Madhya Pradesh","Chhindwara"
"Madhya Pradesh","Damoh"
"Madhya Pradesh","Datia"
"Madhya Pradesh","Dewas"
"Madhya Pradesh","Dhar"
"Madhya Pradesh","Dindori"
"Madhya Pradesh","East Nimar"
"Madhya Pradesh","Guna"
"Madhya Pradesh","Gwalior"
"Madhya Pradesh","Harda"
"Madhya Pradesh","Hoshangabad"
"Madhya Pradesh","Indore"
"Madhya Pradesh","Jabalpur"
"Madhya Pradesh","Jhabua"
"Madhya Pradesh","Katni"
"Madhya Pradesh","Mandla"
"Madhya Pradesh","Mandsaur"
"Madhya Pradesh","Morena"
"Madhya Pradesh","Narsinghpur"
"Madhya Pradesh","Neemuch"
"Madhya Pradesh","Panna"
"Madhya Pradesh","Raisen"
"Madhya Pradesh","Rajgarh"
"Madhya Pradesh","Ratlam"
"Madhya Pradesh","Rewa"
"Madhya Pradesh","Sagar"
"Madhya Pradesh","Satna"
"Madhya Pradesh","Sehore"
"Madhya Pradesh","Seoni"
"Madhya Pradesh","Shahdol"
"Madhya Pradesh","Shajapur"
"Madhya Pradesh","Sheopur"
"Madhya Pradesh","Shivpuri"
"Madhya Pradesh","Sidhi"
"Madhya Pradesh","Singrauli"
"Madhya Pradesh","Tikamgarh"
"Madhya Pradesh","Ujjain"
"Madhya Pradesh","Umaria"
"Madhya Pradesh","Vidisha"
"Madhya Pradesh","West Nimar"
"Maharashtra","Ahmednagar"
"Maharashtra","Akola"
"Maharashtra","Amravati"
"Maharashtra","Aurangabad"
"Maharashtra","Bhandara"
"Maharashtra","Bid"
"Maharashtra","Buldana"
"Maharashtra","Chandrapur"
"Maharashtra","Dhule"
"Maharashtra","Garhchiroli"
"Maharashtra","Gondiya"
"Maharashtra","Hingoli"
"Maharashtra","Jalgaon"
"Maharashtra","Jalna"
"Maharashtra","Kolhapur"
"Maharashtra","Latur"
"Maharashtra","Mumbai Suburban"
"Maharashtra","Nagpur"
"Maharashtra","Nanded"
"Maharashtra","Nandurbar"
"Maharashtra","Nashik"
"Maharashtra","Osmanabad"
"Maharashtra","Parbhani"
"Maharashtra","Pune"
"Maharashtra","Raigarh"
"Maharashtra","Ratnagiri"
"Maharashtra","Sangli"
"Maharashtra","Satara"
"Maharashtra","Sindhudurg"
"Maharashtra","Solapur"
"Maharashtra","Thane"
"Maharashtra","Wardha"
"Maharashtra","Washim"
"Maharashtra","Yavatmal"
"Manipur","Bishnupur"
"Manipur","Chandel"
"Manipur","Churachandpur"
"Manipur","East Imphal"
"Manipur","Senapati"
"Manipur","Tamenglong"
"Manipur","Thoubal"
"Manipur","Ukhrul"
"Manipur","West Imphal"
"Meghalaya","East Garo Hills"
"Meghalaya","East Khasi Hills"
"Meghalaya","Jaintia Hills"
"Meghalaya","Ri-Bhoi"
"Meghalaya","South Garo Hills"
"Meghalaya","West Garo Hills"
"Meghalaya","West Khasi Hills"
"Mizoram","Aizawl"
"Mizoram","Aizawl (East)"
"Mizoram","Aizawl (West)"
"Mizoram","Champhai"
"Mizoram","Kolasib"
"Mizoram","Lawngtlai"
"Mizoram","Lunglei"
"Mizoram","Mamit"
"Mizoram","Saiha"
"Mizoram","Serchhip"
"Nagaland","Dimapur"
"Nagaland","Kiphire"
"Nagaland","Kohima"
"Nagaland","Longleng"
"Nagaland","Mokokchung"
"Nagaland","Mon"
"Nagaland","Peren"
"Nagaland","Phek"
"Nagaland","Tuensang"
"Nagaland","Wokha"
"Nagaland","Zunheboto"
"Orissa","Angul"
"Orissa","Baleshwar"
"Orissa","Baragarh"
"Orissa","Bhadrak"
"Orissa","Bolangir"
"Orissa","Boudh"
"Orissa","Cuttack"
"Orissa","Deogarh"
"Orissa","Dhenkanal"
"Orissa","Gajapati"
"Orissa","Ganjam"
"Orissa","Jagatsinghpur"
"Orissa","Jajpur"
"Orissa","Jharsuguda"
"Orissa","Kalahandi"
"Orissa","Kandhamal"
"Orissa","Kendrapara"
"Orissa","Keonjhar"
"Orissa","Khordha"
"Orissa","Koraput"
"Orissa","Malkangiri"
"Orissa","Mayurbhanj"
"Orissa","Nabarangpur"
"Orissa","Nayagarh"
"Orissa","Nuapada"
"Orissa","Puri"
"Orissa","Rayagada"
"Orissa","Sambalpur"
"Orissa","Sonepur"
"Orissa","Sundargarh"
"Puducherry","Karaikal"
"Puducherry","Mahe"
"Puducherry","Pondy (District)"
"Puducherry","Yanam"
"Punjab","Amritsar"
"Punjab","Barnala"
"Punjab","Bathinda"
"Punjab","Faridkot"
"Punjab","Fatehgarh Sahib"
"Punjab","Fazilka"
"Punjab","Firozpur"
"Punjab","Gurdaspur"
"Punjab","Hoshiarpur"
"Punjab","Jalandhar"
"Punjab","Kapurthala"
"Punjab","Ludhiana"
"Punjab","Mansa"
"Punjab","Moga"
"Punjab","Muktsar"
"Punjab","Nawan Shehar"
"Punjab","Pathankot"
"Punjab","Patiala"
"Punjab","Rupnagar"
"Punjab","Sahibzada Ajit Singh Nagar"
"Punjab","Sangrur"
"Punjab","Tarn Taran"
"Rajasthan","Ajmer"
"Rajasthan","Alwar"
"Rajasthan","Banswara"
"Rajasthan","Baran"
"Rajasthan","Barmer"
"Rajasthan","Bharatpur"
"Rajasthan","Bhilwara"
"Rajasthan","Bikaner"
"Rajasthan","Bundi"
"Rajasthan","Chittaurgarh"
"Rajasthan","Churu"
"Rajasthan","Dausa"
"Rajasthan","Dhaulpur"
"Rajasthan","Dungarpur"
"Rajasthan","Ganganagar"
"Rajasthan","Hanumangarh"
"Rajasthan","Jaipur"
"Rajasthan","Jaisalmer"
"Rajasthan","Jalor"
"Rajasthan","Jhalawar"
"Rajasthan","Jhunjhunun"
"Rajasthan","Jodhpur"
"Rajasthan","Karauli"
"Rajasthan","Kota"
"Rajasthan","Nagaur"
"Rajasthan","Pali"
"Rajasthan","Pratapgarh"
"Rajasthan","Rajsamand"
"Rajasthan","Sawai Madhopur"
"Rajasthan","Sikar"
"Rajasthan","Sirohi"
"Rajasthan","Tonk"
"Rajasthan","Udaipur"
"Tamil Nadu","Ariyalur"
"Tamil Nadu","Chennai"
"Tamil Nadu","Coimbatore"
"Tamil Nadu","Cuddalore"
"Tamil Nadu","Dharmapuri"
"Tamil Nadu","Dindigul"
"Tamil Nadu","Erode"
"Tamil Nadu","Kancheepuram"
"Tamil Nadu","Kanniyakumari"
"Tamil Nadu","Karur"
"Tamil Nadu","Krishnagiri"
"Tamil Nadu","Madurai"
"Tamil Nadu","Nagapattinam"
"Tamil Nadu","Namakkal"
"Tamil Nadu","Nilgiris"
"Tamil Nadu","Perambalur"
"Tamil Nadu","Pudukkottai"
"Tamil Nadu","Ramanathapuram"
"Tamil Nadu","Salem"
"Tamil Nadu","Sivaganga"
"Tamil Nadu","Thanjavur"
"Tamil Nadu","Theni"
"Tamil Nadu","Thiruvallur"
"Tamil Nadu","Thiruvarur"
"Tamil Nadu","Thoothukudi"
"Tamil Nadu","Tiruchchirappalli"
"Tamil Nadu","Tirunelveli Kattabo"
"Tamil Nadu","Tiruppur"
"Tamil Nadu","Tiruvannamalai"
"Tamil Nadu","Vellore"
"Tamil Nadu","Villupuram"
"Tamil Nadu","Virudhunagar"
"Uttarakhand","Almora"
"Uttarakhand","Bageshwar"
"Uttarakhand","Chamoli"
"Uttarakhand","Champawat"
"Uttarakhand","Dehra Dun"
"Uttarakhand","Garhwal"
"Uttarakhand","Haridwar"
"Uttarakhand","Naini Tal"
"Uttarakhand","Pithoragarh"
"Uttarakhand","Rudra Prayag"
"Uttarakhand","Tehri Garhwal"
"Uttarakhand","Udham Singh Nagar"
"Uttarakhand","Uttarkashi"
"Uttar Pradesh","Agra"
"Uttar Pradesh","Aligarh"
"Uttar Pradesh","Allahabad"
"Uttar Pradesh","Ambedkar Nagar"
"Uttar Pradesh","Auraiya"
"Uttar Pradesh","Azamgarh"
"Uttar Pradesh","Badaun"
"Uttar Pradesh","Baghpat"
"Uttar Pradesh","Bahraich"
"Uttar Pradesh","Ballia"
"Uttar Pradesh","Balrampur"
"Uttar Pradesh","Banda"
"Uttar Pradesh","Bara Banki"
"Uttar Pradesh","Bareilly"
"Uttar Pradesh","Basti"
"Uttar Pradesh","Bijnor"
"Uttar Pradesh","Bulandshahr"
"Uttar Pradesh","Chandauli"
"Uttar Pradesh","Chitrakoot"
"Uttar Pradesh","Deoria"
"Uttar Pradesh","Etah"
"Uttar Pradesh","Etawah"
"Uttar Pradesh","Faizabad"
"Uttar Pradesh","Farrukhabad"
"Uttar Pradesh","Fatehpur"
"Uttar Pradesh","Firozabad"
"Uttar Pradesh","Gautam Buddha Nagar"
"Uttar Pradesh","Ghaziabad"
"Uttar Pradesh","Ghazipur"
"Uttar Pradesh","Gonda"
"Uttar Pradesh","Gorakhpur"
"Uttar Pradesh","Hamirpur"
"Uttar Pradesh","Hardoi"
"Uttar Pradesh","Hathras"
"Uttar Pradesh","Jalaun"
"Uttar Pradesh","Jaunpur"
"Uttar Pradesh","Jhansi"
"Uttar Pradesh","Jyotiba Phule Nagar"
"Uttar Pradesh","Kannauj"
"Uttar Pradesh","Kanpur"
"Uttar Pradesh","Kanpur Dehat"
"Uttar Pradesh","Kasganj"
"Uttar Pradesh","Kaushambi"
"Uttar Pradesh","Kushinagar"
"Uttar Pradesh","Lakhimpur Kheri"
"Uttar Pradesh","Lalitpur"
"Uttar Pradesh","Lucknow"
"Uttar Pradesh","Maharajganj"
"Uttar Pradesh","Mahoba"
"Uttar Pradesh","Mainpuri"
"Uttar Pradesh","Mathura"
"Uttar Pradesh","Mau"
"Uttar Pradesh","Meerut"
"Uttar Pradesh","Mirzapur"
"Uttar Pradesh","Moradabad"
"Uttar Pradesh","Muzaffarnagar"
"Uttar Pradesh","Pilibhit"
"Uttar Pradesh","Pratapgarh"
"Uttar Pradesh","Rae Bareli"
"Uttar Pradesh","Rampur"
"Uttar Pradesh","Saharanpur"
"Uttar Pradesh","Sant Kabir Nagar"
"Uttar Pradesh","Sant Ravi Das Nagar"
"Uttar Pradesh","Shahjahanpur"
"Uttar Pradesh","Shravasti"
"Uttar Pradesh","Siddharth Nagar"
"Uttar Pradesh","Sitapur"
"Uttar Pradesh","Sonbhadra"
"Uttar Pradesh","Sultanpur"
"Uttar Pradesh","Unnao"
"Uttar Pradesh","Varanasi"
"West Bengal","Bankura"
"West Bengal","Barddhaman"
"West Bengal","Birbhum"
"West Bengal","Dakshin Dinajpur"
"West Bengal","Darjiling"
"West Bengal","East Midnapore"
"West Bengal","Haora"
"West Bengal","Hugli"
"West Bengal","Jalpaiguri"
"West Bengal","Kochbihar"
"West Bengal","Maldah"
"West Bengal","Murshidabad"
"West Bengal","Nadia"
"West Bengal","North 24 Parganas"
"West Bengal","Puruliya"
"West Bengal","South 24 Parganas"
"West Bengal","Uttar Dinajpur"
"West Bengal","West Midnapore"
